COLLISION_ID,crash_datetime,CRASH_YEAR,CRASH_MONTH,CRASH_HOUR,CRASH_WEEKDAY,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,persons_count,persons_injured,persons_killed,PEDESTRIAN,BICYCLIST,MOTORIST,median_age
4727130,2024-05-22 07:30:00,2024,5,7,Wednesday,UNKNOWN,,,,0.0,0.0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,3.0,0.0,0.0,0.0,0.0,0.0,32.0
4134161,2019-05-18 19:48:00,2019,5,19,Saturday,BROOKLYN,11217.0,40.68733,-73.98183,0.0,0.0,Passing Too Closely,Station Wagon/Sport Utility Vehicle,5.0,0.0,0.0,0.0,0.0,0.0,26.0
3150949,2015-01-11 16:00:00,2015,1,16,Sunday,MANHATTAN,10016.0,40.7509045,-73.9806727,0.0,0.0,Prescription Medication,SPORT UTILITY / STATION WAGON,,,,,,,
4752340,2024-08-29 19:55:00,2024,8,19,Thursday,BRONX,10454.0,40.802452,-73.90886,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,1.0,0.0,0.0,0.0,0.0,0.0,53.0
3301603,2015-09-21 20:30:00,2015,9,20,Monday,BROOKLYN,11209.0,40.6337239,-74.0238834,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
266100,2013-05-23 17:00:00,2013,5,17,Thursday,UNKNOWN,,,,0.0,0.0,Unspecified,PASSENGER VEHICLE,,,,,,,
4298395,2020-03-06 10:45:00,2020,3,10,Friday,BROOKLYN,11204.0,40.614742,-73.9783,0.0,0.0,Other Vehicular,Sedan,4.0,0.0,0.0,0.0,0.0,0.0,35.0
46284,2012-10-29 14:40:00,2012,10,14,Monday,MANHATTAN,10021.0,40.7704232,-73.9622113,0.0,0.0,Fatigued/Drowsy,PASSENGER VEHICLE,,,,,,,
3446925,2016-05-22 23:50:00,2016,5,23,Sunday,MANHATTAN,10040.0,40.864594,-73.92781,1.0,0.0,Failure to Yield Right-of-Way,4 dr sedan,3.0,1.0,0.0,0.0,0.0,0.0,51.0
321180,2014-04-16 08:28:00,2014,4,8,Wednesday,BROOKLYN,11230.0,40.6265698,-73.9709207,0.0,0.0,Driver Inattention/Distraction,PASSENGER VEHICLE,,,,,,,
3952932,2018-07-31 17:21:00,2018,7,17,Tuesday,BROOKLYN,11220.0,40.639446,-74.02696,0.0,0.0,Traffic Control Disregarded,Sedan,3.0,0.0,0.0,0.0,0.0,0.0,71.0
